اسم الملف,المجلد التابع له,عدد الصفحات,حالة الملف,اللغة الأساسية,عينة من النص المستخرج
سياسة استخدام البريد الالكترونى.pdf,تكنولوجيا المعلومات,6,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة استخدام البريد الإلكتروني )راعي السياسة: (الرئيس التنفيذي لتكنولوجيا المعلومات توقيع...
سياسة الاستخدام الآمن للانترنت.pdf,تكنولوجيا المعلومات,6,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة الاستخدام اآلمن لإلنترنت راعي السياسة: (ال )رئيس التنفيذي لتكنولوجيا المعلومات توقيع...
سياسة الاستخدام الامن لاجهزة الحاسب الشخصي.pdf,تكنولوجيا المعلومات,6,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة الاستخدام اآلمن ألجهزة الحاسب الشخصي )راعي السياسة: (الرئيس التنفيذي لتكنولوجيا المع...
سياسة التحكم فى امن تكنولوجيا المعلومات.pdf,تكنولوجيا المعلومات,8,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة التحكم في أمن تكنولوجيا المعلومات )راعي السياسة: (الرئيس التنفيذي لتكنولوجيا المعلوم...
سياسة الابلاغ.pdf,سياسات الأمتثال و الحوكمة,13,Digital (نصي قابل للنسخ),الإنجليزية (English),SpeakUp Policy ﺳﯾﺎﺳﺔ اﻹﺑﻼغ اﻹﺻﺪار ٢ - ٤٢٠٢ VERSION 02 - 2024 www.hsayemen.com Legal and Compliance H...
سياسة التجارة الدولية والعقوبات المالية.pdf,سياسات الأمتثال و الحوكمة,12,Digital (نصي قابل للنسخ),الإنجليزية (English),International Trade & Financial Sanctions Policy ﺳﻴﺎﺳﺔ اﻟﺘﺠﺎرة اﻟﺪوﻟﻴﺔ واﻟﻌﻘﻮﺑﺎت اﻟﻤﺎﻟﻴﺔ www.hsayeme...
سياسة التحقيقات.pdf,سياسات الأمتثال و الحوكمة,1,Digital (نصي قابل للنسخ),العربية (Arabic),ملف PDF هذا محمي ستحتاج إلى قارئ مختلف لعرض هذا المحتوى: تنزيل قارئPDF متوافق . تمت حماية مستند PDF ...
سياسة إدارة مخاطر الامتثال لشركاء الأعمال.pdf,سياسات الأمتثال و الحوكمة,14,Digital (نصي قابل للنسخ),الإنجليزية (English),Business Partners Compliance Risk Management Policy ﺳﻴﺎﺳـﺔ إدارة ﻣﺨﺎﻃﺮ اﻻﻣﺘﺜﺎل ﻟﺸﺮﻛﺎء اﻷﻋﻤﺎل اﻹﺻﺪار ...
سياسة تعارض المصالح.pdf,سياسات الأمتثال و الحوكمة,20,Digital (نصي قابل للنسخ),الإنجليزية (English),Conflict of Interest Policy ﺳﻴﺎﺳﺔ ﺗﻌﺎرض اﻟﻤﺼﺎﻟﺢ اﻹﺻﺪار ١- ٤٢٠٢ VERSION 01 - 2024 www.hsayemen.com Le...
سياسة حوكمة البيانات.pdf,سياسات الأمتثال و الحوكمة,26,Digital (نصي قابل للنسخ),الإنجليزية (English),Data governance Policy Legal and compliance HSAGroup Name Title Signature Name Title Signature Name ...
سياسة مكافحة الرشوة والفساد.pdf,سياسات الأمتثال و الحوكمة,13,Digital (نصي قابل للنسخ),الإنجليزية (English),Anti-Bribery and Anti- Corruption Policy ﺳﻴﺎﺳﺔ ﻣﻜﺎﻓﺤﺔ اﻟﺮﺷﻮة و ﻣﻜﺎﻓﺤﺔ اﻟﻔﺴﺎد www.hsayemen.com اﻹﺻﺪار...
سياسة مكافحة غسل الأموال ومكافحة تمويل الإرهاب.pdf,سياسات الأمتثال و الحوكمة,8,Digital (نصي قابل للنسخ),الإنجليزية (English),Anti-Money Laundering and Countering Terrorism Financing Policy ﺳﻴﺎﺳﺔ ﻣﻜﺎﻓﺤﺔ ﻏﺴﻞ اﻷﻣﻮال وﻣﻜﺎﻓﺤﺔ ﺗﻤﻮﻳ...
قواعد السلوك المهني لشركاء الأعمال.pdf,سياسات الأمتثال و الحوكمة,7,Digital (نصي قابل للنسخ),الإنجليزية (English),BUSINESS PARTNERS CODE OF CONDUCT ﻗﻮاﻋﺪ اﻟﺴﻠﻮك اﻟﻤﻬﻨﻲ وأﺧﻼﻗﻴﺎت اﻟﻌﻤﻞ ﻟﺸﺮﻛﺎء اﻷﻋﻤﺎل www.hsayemen.com ...
سياسة وسائل التواصل الاجتماعي.pdf,سياسات الاتصال المؤسسي,3,Digital (نصي قابل للنسخ),العربية (Arabic),ﻣﺟﻣوﻋﺔ ھﺎﺋل ﺳﻌﯾد أﻧﻌم وﺷرﻛﺎه | ﺳﯾﺎﺳﺔ وﺳﺎﺋل اﻟﺗواﺻل اﻻﺟﺗﻣﺎﻋﻲ ﻣﻘدﻣﺔ ﻧدرك ﻓﻲ ﻣﺟﻣوﻋﺔ ھﺎﺋل ﺳـﻌﯾد أﻧﻌم وﺷـ...
السياسة الخاصة بمنصة التواصل الاجتماعي الداخلي Yammer.pdf,سياسات التواصل الداخلي,2,Digital (نصي قابل للنسخ),العربية (Arabic),سياسة المنصة الداخلية للموظفي 1 اﻟﺴﻴﺎﺳﺔ اﻟﺨﺎﺻﺔ ﺑﻤﻨﺼﺔ اﻟﺘﻮاﺻﻞ اﻻﺟﺘﻤﺎﻋﻲ اﻟﺪاﺧﻠﻲ Yammer إﻧﻨﺎ ﻧﺪرك، ﻓﻲ ﻣ...
إجراءات إثبات وتطبيق العقوبة لمخالفات السلامة المهنية.pdf,سياسات الصحة والسلامة المهنية,1,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: إجراءات إثبات وتطبيق الجزاءات لمخالفات السالمة المهنية م اإلجــــــــــــــــــــــراء الق...
لائحة المخالفات والجزاءات السلامة المهنية.pdf,سياسات الصحة والسلامة المهنية,3,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: المخالفات المتعلقة بالسالمة والصحة المهنية م بي ــــــــــ ان المخالفـ ــــــــ ة الجـ ـــ...
سياسة الأصول الثابتة، المنشآت والمعدات.pdf,سياسات المالية,16,Digital (نصي قابل للنسخ),العربية (Arabic),"www.HSAYemen.com Property, Plant & Equipment Policy سياسة األصول الثابتة ، المنشآت والمعدات Docusign..."
سياسة المشتريات.pdf,سياسات المشتريات,16,Digital (نصي قابل للنسخ),الإنجليزية (English),www.HSAYemen.com Procurement Policy – Yemen Region سياسة المشتريات – إقليم اليمن Docusign Envelope I...
سياسة استقطاب المواهب 2025.pdf,سياسات الموارد البشريه,3,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة استقطاب املواهب ❖ الفلسفة :تهدف هذه السياسة الى تنظيم وتوحيد إجراءات وطرق عمليات است...
